Timestamp,Power (w/kg),Form Power (w/kg),Air Power (w/kg),Watch Speed (m/s),Stryd Speed (m/s),Watch Distance (meters),Stryd Distance (meters),Stiffness,Stiffness/kg,Ground Time (ms),Cadence (spm),Vertical Oscillation (cm),Watch Elevation (m),Stryd Elevation (m),Ground Time Balance,Vertical Oscillation Balance,Leg Spring Stiffness Balance,Impact Loading Rate Balance,Vertical Ratio,Elapsed Time (s),Form Power,Leg Spring Stiffness,Power,accumulated_power,activity_type,cadence,distance,enhanced_altitude,enhanced_speed,fractional_cadence,heart_rate,position_lat,position_long,power,run_score,stance_time,stance_time_balance,stance_time_percent,step_length,temperature,timestamp,trail_score,vertical_oscillation,vertical_ratio,unknown_107,unknown_134,unknown_135,unknown_136,unknown_140,unknown_143,unknown_144,unknown_87,Air Power,Cadence,Ground Time,Impact Loading Rate,Stryd Humidity,Stryd Temperature,Vertical Oscillation,unknown_108,elapsed_seconds
1745263055,1.2666666666666666,0.6933333333333334,0.0,1.351,0,0.0,0,0.0,0.0,0,104,5.86,627.59998,0,0.0,0,0,0,7.5184111262220625,0,52,0.0,95,100,running,52,0.0,627.5999999999999,1.351,0.0,99,422654972,-984240203,0,0.0,,,,807.0,34,2025-04-21 19:17:35,0.0,58.6,7.26,0,100.0,8,105,1325,60,99,0.0,,,,,,,,,0
1745263056,1.2933333333333332,0.7066666666666667,0.0,1.407,0,1.65,0,0.0,0.0,0,104,5.79,627.79999,0,0.0,0,0,0,7.132913653554754,1,53,0.0,97,203,running,52,1.65,627.8,1.407,0.0,106,422654842,-984240361,0,0.0,,,,753.0,34,2025-04-21 19:17:36,0.0,57.9,7.68,1,100.0,6,106,1379,60,100,0.0,,,,,,,,,1
1745263057,1.3066666666666666,0.7066666666666667,0.0133333333333333,1.314,0,3.04,0,0.0,0.0,752,106,0.0,627.79999,0,0.0,0,0,0,0.0,2,53,0.0,98,312,running,53,3.04,627.8,1.314,0.0,106,422654749,-984240470,0,0.0,,,,739.0,34,2025-04-21 19:17:37,0.0,57.9,7.83,1,100.0,6,106,1288,60,100,0.0,1.0,53.0,752.0,0.0,34.0,31.0,0.0,,2
1745263058,1.3066666666666666,0.7066666666666667,0.0133333333333333,1.314,0,3.88,0,0.0,0.0,750,106,0.0,627.79999,0,0.0,0,0,0,0.0,3,53,0.0,98,553,running,53,3.88,627.8,1.314,0.0,106,422654703,-984240536,0,0.0,,,,792.0,34,2025-04-21 19:17:38,0.0,58.6,7.4,1,100.0,6,106,1288,60,100,0.0,1.0,53.0,750.0,0.0,34.0,31.0,0.0,,3
1745263059,1.3333333333333333,0.7066666666666667,0.0133333333333333,1.407,0,5.13,0,0.0,0.0,746,106,0.0,627.79999,0,0.0,0,0,0,0.0,4,53,0.0,100,761,running,53,5.13,627.8,1.407,0.0,105,422654594,-984240746,170,0.0,,,,792.0,34,2025-04-21 19:17:39,40.029457092285156,58.6,7.4,1,100.0,20,105,1379,60,101,45056.0,1.0,53.0,746.0,0.0,34.0,31.0,0.0,,4
1745263060,1.4266666666666667,0.7066666666666667,0.0266666666666666,1.407,0,7.09,0,0.0,0.0,738,106,0.0,628.0,0,0.0,0,0,0,0.0,5,53,0.0,107,954,running,58,7.09,628.0,1.407,0.0,105,422654401,-984241076,165,0.0,,,,,34,2025-04-21 19:17:40,38.833038330078125,57.3,,1,100.0,20,105,1379,60,102,0.0,2.0,53.0,738.0,0.0,34.0,31.0,0.0,2125.0,5
1745263061,2.5866666666666664,0.7466666666666667,0.0666666666666666,1.249,0,12.26,0,0.0,0.0,598,124,0.0,628.20001,0,0.0,0,0,0,0.0,6,56,0.0,194,1150,running,66,12.26,628.2,1.249,0.0,104,422654063,-984241609,164,0.0,,,,,34,2025-04-21 19:17:41,36.67281723022461,57.3,,1,100.0,20,104,1405,60,102,482.0,5.0,62.0,598.0,0.0,34.0,31.0,0.0,2125.0,6
1745263062,3.453333333333333,0.7733333333333333,0.0666666666666666,1.249,0,18.49,0,16.125,0.215,598,140,4.625,629.20001,0,0.0,0,0,0,8.640176353004913,7,58,16.125,259,1434,running,70,18.49,629.2,1.249,0.0,104,422653673,-984242189,154,0.0,391.0,,,779.0,34,2025-04-21 19:17:42,26.908645629882812,72.5,9.29,1,100.0,20,104,1405,60,109,0.0,5.0,70.0,598.0,79.0,34.0,31.0,4.625,2125.0,7
1745263063,4.226666666666667,0.8266666666666667,0.1733333333333333,1.825,0,24.4,0,16.25,0.2166666666666666,454,176,4.75,629.40002,0,0.0,0,0,0,7.634692040632634,8,62,16.25,317,2047,running,81,24.4,629.4000000000001,1.825,0.0,107,422653342,-984242712,183,0.0,260.0,,,1798.0,34,2025-04-21 19:17:43,14.500633239746094,128.9,7.16,1,100.0,20,107,1914,60,109,56664.0,13.0,88.0,454.0,88.0,34.0,31.0,4.75,2125.0,8
1745263064,4.693333333333333,0.8266666666666667,0.4533333333333333,4.5,0,29.76,0,16.25,0.2166666666666666,234,176,4.75,629.59998,0,0.0,0,0,0,3.0962981311396334,9,62,16.25,352,2738,running,97,29.76,629.5999999999999,4.5,0.0,108,422652945,-984243285,253,0.0,203.0,,,1968.0,34,2025-04-21 19:17:44,10.473274230957031,102.3,5.19,1,100.0,20,108,4719,60,109,0.0,34.0,88.0,234.0,96.0,34.0,31.0,4.75,2125.0,9
1745263065,5.613333333333333,0.8666666666666667,0.6533333333333333,5.777,0,35.78,0,16.25,0.2166666666666666,150,216,4.75,629.59998,0,0.0,0,0,0,2.9600179470561843,10,65,16.25,421,3394,running,114,35.78,629.5999999999999,5.777,0.0,109,422652546,-984243907,315,0.0,161.0,,,1604.0,34,2025-04-21 19:17:45,4.746243476867676,73.4,4.57,1,100.0,20,109,6059,60,109,0.0,49.0,108.0,150.0,101.0,34.0,31.0,4.75,,10
1745263066,6.066666666666666,0.88,0.6533333333333333,5.777,0,42.14,0,16.75,0.2233333333333333,150,230,4.875,629.59998,0,50.37,0,0,0,3.23481792122306,11,66,16.75,455,4030,running,119,42.14,629.5999999999999,5.777,0.5,110,422652156,-984244604,395,22.70244598388672,142.0,50.37,28.5,,34,2025-04-21 19:17:46,1.8922590017318726,62.5,,1,100.0,20,109,6059,60,110,0.0,49.0,115.0,150.0,101.0,34.0,31.0,4.875,,11
1745263067,6.24,0.88,0.72,5.777,0,48.12,0,16.5,0.22,142,234,4.75,629.20001,0,50.25,0,0,0,3.2066861093108665,12,66,16.5,468,4675,running,119,48.12,629.2,5.777,0.5,111,422651725,-984245178,474,19.99899673461914,142.0,50.25,28.5,,34,2025-04-21 19:17:47,3.156702756881714,62.5,,1,100.0,20,110,5770,60,111,0.0,54.0,117.0,142.0,114.0,34.0,31.0,4.75,,12
1745263068,6.426666666666667,0.88,0.6933333333333334,5.88,0,54.24,0,16.5,0.22,138,234,4.75,629.0,0,50.25,0,0,0,3.150515026298509,13,66,16.5,482,5301,running,119,54.24,629.0,5.88,0.5,113,422651294,-984245772,523,18.641084671020508,142.0,50.25,28.5,,34,2025-04-21 19:17:48,4.290353298187256,62.5,,1,0.0,20,110,5872,60,113,0.0,52.0,117.0,138.0,124.0,34.0,31.0,4.75,,13
1745263069,6.493333333333333,0.8666666666666667,0.6,5.983,0,60.25,0,16.5,0.22,138,236,4.75,629.0,0,50.25,0,0,0,3.122740122279929,14,65,16.5,487,5959,running,119,60.25,629.0,5.983,0.5,113,422650768,-984246252,556,17.46828842163086,142.0,50.25,28.5,,34,2025-04-21 19:17:49,6.731919765472412,62.5,,1,0.0,20,112,5975,60,113,0.0,45.0,118.0,138.0,124.0,34.0,31.0,4.75,,14
1745263070,6.386666666666667,0.8666666666666667,0.64,6.076,0,66.71,0,16.5,0.22,138,236,4.75,629.0,0,50.25,0,0,0,3.074931218643793,15,65,16.5,479,6620,running,119,66.71,629.0,6.076,0.5,112,422650165,-984246696,557,16.71220588684082,142.0,50.25,28.5,,34,2025-04-21 19:17:50,6.710886478424072,62.5,,1,0.0,20,112,6068,60,114,0.0,48.0,118.0,138.0,124.0,34.0,31.0,4.75,,15
1745263071,6.533333333333333,0.88,0.64,6.02,0,73.42,0,16.0,0.2133333333333333,138,234,4.75,629.0,0,51.21,0,0,0,3.0772420137471737,16,66,16.0,490,7272,running,117,73.42,629.0,6.02,0.0,113,422649546,-984247084,548,16.61968231201172,143.0,51.21,28.25,1508.0,34,2025-04-21 19:17:51,6.454237937927246,58.5,3.0,1,,20,113,6012,60,118,0.0,48.0,117.0,138.0,126.0,34.0,31.0,4.75,,16
1745263072,6.72,0.88,0.8666666666666667,6.076,0,80.41,0,16.25,0.2166666666666666,138,234,4.75,629.0,0,51.0,0,0,0,3.048878333707757,17,66,16.25,504,7983,running,117,80.41,629.0,6.076,0.5,114,422648898,-984247521,545,16.350936889648438,149.0,51.0,29.75,1548.0,34,2025-04-21 19:17:52,6.229671955108643,58.5,3.21,1,0.0,20,114,6068,60,119,0.0,65.0,117.0,138.0,124.0,34.0,31.0,4.75,,17
1745263073,6.786666666666667,0.88,1.0266666666666666,6.309,0,87.12,0,16.25,0.2166666666666666,138,234,4.75,629.0,0,50.65,0,0,0,2.936285691325285,18,66,16.25,509,8736,running,117,87.12,629.0,6.309,0.5,117,422648352,-984248123,542,16.125009536743164,149.0,50.65,29.75,1699.0,34,2025-04-21 19:17:53,5.971861362457275,58.5,3.4,1,0.0,20,117,6158,60,119,0.0,77.0,117.0,138.0,119.0,34.0,31.0,4.75,,18
1745263074,6.946666666666666,0.88,1.0266666666666666,6.541,0,93.5,0,15.625,0.2083333333333333,138,232,4.875,628.79999,0,50.53,0,0,0,2.8818188267007163,19,66,15.625,521,9502,running,116,93.5,628.8,6.541,0.5,118,422647939,-984248790,519,16.479324340820312,147.0,50.53,28.5,1656.0,34,2025-04-21 19:17:54,4.411670684814453,60.5,3.4,1,0.0,20,118,6385,60,120,0.0,77.0,116.0,138.0,114.0,34.0,31.0,4.875,,19
1745263075,7.24,0.88,1.1466666666666667,6.699,0,99.71,0,15.75,0.21,140,234,4.75,628.79999,0,50.53,0,0,0,2.765341825358476,20,66,15.75,543,10254,running,117,99.71,628.8,6.699,0.5,119,422647636,-984249547,518,16.13027572631836,143.0,50.53,28.25,1661.0,34,2025-04-21 19:17:55,4.427138328552246,58.5,3.31,1,0.0,20,119,6435,60,125,0.0,86.0,117.0,140.0,114.0,34.0,31.0,4.75,,20
1745263076,7.1466666666666665,0.8666666666666667,1.1466666666666667,6.699,0,106.18,0,16.125,0.215,140,234,4.75,628.79999,0,50.65,0,0,0,2.765341825358476,21,65,16.125,536,10935,running,117,106.18,628.8,6.699,0.5,119,422647378,-984250331,513,16.09698486328125,140.0,50.65,27.5,1676.0,34,2025-04-21 19:17:56,3.4089443683624268,58.5,3.31,1,0.0,20,119,6435,60,129,,86.0,117.0,140.0,109.0,34.0,31.0,4.75,,21
1745263077,7.12,0.88,1.0133333333333334,6.513,0,112.1,0,15.625,0.2083333333333333,138,232,4.875,628.79999,0,50.65,0,0,0,2.8942056518641657,22,66,15.625,534,11587,running,115,112.1,628.8,6.513,0.0,123,422647085,-984251058,528,16.147518157958984,139.0,50.65,26.75,1821.0,34,2025-04-21 19:17:57,4.8558149337768555,69.2,3.4,1,0.0,20,123,6357,60,132,,76.0,116.0,138.0,108.0,34.0,31.0,4.875,,22
1745263078,7.066666666666666,0.88,0.7733333333333333,6.373,0,118.41,0,15.625,0.2083333333333333,142,232,4.875,628.79999,0,50.53,0,0,0,2.957790060611944,23,66,15.625,530,12241,running,112,118.41,628.8,6.373,0.5,126,422646738,-984251720,538,16.349918365478516,150.0,50.53,28.0,1811.0,34,2025-04-21 19:17:58,6.890438556671143,71.2,3.5,1,0.0,20,126,6221,60,135,0.0,58.0,116.0,142.0,106.0,34.0,31.0,4.875,,23
1745263079,6.906666666666666,0.8933333333333333,0.6266666666666667,6.373,0,124.16,0,15.625,0.2083333333333333,142,228,5.0,628.59998,0,50.09,0,0,0,2.9813190548026065,24,67,15.625,518,12935,running,103,124.16,628.5999999999999,6.373,0.5,131,422646376,-984252331,557,16.90738868713379,175.0,50.09,30.75,2040.0,34,2025-04-21 19:17:59,8.34964656829834,90.7,3.59,1,0.0,20,131,6288,60,137,0.0,47.0,114.0,142.0,110.0,34.0,31.0,5.0,,24
