Timestamp,Power (w/kg),Form Power (w/kg),Air Power (w/kg),Watch Speed (m/s),Stryd Speed (m/s),Watch Distance (meters),Stryd Distance (meters),Stiffness,Stiffness/kg,Ground Time (ms),Cadence (spm),Vertical Oscillation (cm),Watch Elevation (m),Stryd Elevation (m),Ground Time Balance,Vertical Oscillation Balance,Leg Spring Stiffness Balance,Impact Loading Rate Balance,Vertical Ratio
1745263055,1.2666666666666666,0.6933333333333334,0,1.351,0,0,0,0,0,0,104,5.86,627.59998,0,0,0,0,0,7.5184111262220625
1745263056,1.2933333333333332,0.7066666666666667,0,1.407,0,1.65,0,0,0,0,104,5.79,627.79999,0,0,0,0,0,7.132913653554754
1745263057,1.3066666666666666,0.7066666666666667,0.013333333333333334,1.314,0,3.04,0,0,0,752,106,0,627.79999,0,0,0,0,0,0
1745263058,1.3066666666666666,0.7066666666666667,0.013333333333333334,1.314,0,3.88,0,0,0,750,106,0,627.79999,0,0,0,0,0,0
1745263059,1.3333333333333333,0.7066666666666667,0.013333333333333334,1.407,0,5.13,0,0,0,746,106,0,627.79999,0,0,0,0,0,0
1745263060,1.4266666666666667,0.7066666666666667,0.02666666666666667,1.407,0,7.09,0,0,0,738,106,0,628,0,0,0,0,0,0
1745263061,2.5866666666666664,0.7466666666666667,0.06666666666666667,1.249,0,12.26,0,0,0,598,124,0,628.20001,0,0,0,0,0,0
1745263062,3.453333333333333,0.7733333333333333,0.06666666666666667,1.249,0,18.49,0,16.125,0.215,598,140,4.625,629.20001,0,0,0,0,0,8.640176353004913
1745263063,4.226666666666667,0.8266666666666667,0.17333333333333334,1.825,0,24.4,0,16.25,0.21666666666666667,454,176,4.75,629.40002,0,0,0,0,0,7.634692040632634
1745263064,4.693333333333333,0.8266666666666667,0.4533333333333333,4.5,0,29.76,0,16.25,0.21666666666666667,234,176,4.75,629.59998,0,0,0,0,0,3.0962981311396334
1745263065,5.613333333333333,0.8666666666666667,0.6533333333333333,5.777,0,35.78,0,16.25,0.21666666666666667,150,216,4.75,629.59998,0,0,0,0,0,2.9600179470561843
1745263066,6.066666666666666,0.88,0.6533333333333333,5.777,0,42.14,0,16.75,0.22333333333333333,150,230,4.875,629.59998,0,50.37,0,0,0,3.23481792122306
1745263067,6.24,0.88,0.72,5.777,0,48.12,0,16.5,0.22,142,234,4.75,629.20001,0,50.25,0,0,0,3.2066861093108665
1745263068,6.426666666666667,0.88,0.6933333333333334,5.88,0,54.24,0,16.5,0.22,138,234,4.75,629,0,50.25,0,0,0,3.1505150262985095
1745263069,6.493333333333333,0.8666666666666667,0.6,5.983,0,60.25,0,16.5,0.22,138,236,4.75,629,0,50.25,0,0,0,3.122740122279929
1745263070,6.386666666666667,0.8666666666666667,0.64,6.076,0,66.71,0,16.5,0.22,138,236,4.75,629,0,50.25,0,0,0,3.074931218643793
1745263071,6.533333333333333,0.88,0.64,6.02,0,73.42,0,16,0.21333333333333335,138,234,4.75,629,0,51.21,0,0,0,3.0772420137471737
1745263072,6.72,0.88,0.8666666666666667,6.076,0,80.41,0,16.25,0.21666666666666667,138,234,4.75,629,0,51,0,0,0,3.048878333707757
1745263073,6.786666666666667,0.88,1.0266666666666666,6.309,0,87.12,0,16.25,0.21666666666666667,138,234,4.75,629,0,50.65,0,0,0,2.936285691325285
1745263074,6.946666666666666,0.88,1.0266666666666666,6.541,0,93.5,0,15.625,0.20833333333333334,138,232,4.875,628.79999,0,50.53,0,0,0,2.8818188267007163
1745263075,7.24,0.88,1.1466666666666667,6.699,0,99.71,0,15.75,0.21,140,234,4.75,628.79999,0,50.53,0,0,0,2.7653418253584756
1745263076,7.1466666666666665,0.8666666666666667,1.1466666666666667,6.699,0,106.18,0,16.125,0.215,140,234,4.75,628.79999,0,50.65,0,0,0,2.7653418253584756
1745263077,7.12,0.88,1.0133333333333334,6.513,0,112.1,0,15.625,0.20833333333333334,138,232,4.875,628.79999,0,50.65,0,0,0,2.8942056518641657
1745263078,7.066666666666666,0.88,0.7733333333333333,6.373,0,118.41,0,15.625,0.20833333333333334,142,232,4.875,628.79999,0,50.53,0,0,0,2.957790060611944
1745263079,6.906666666666666,0.8933333333333333,0.6266666666666667,6.373,0,124.16,0,15.625,0.20833333333333334,142,228,5,628.59998,0,50.09,0,0,0,2.9813190548026065
1745263080,6.666666666666667,0.8933333333333333,0.5466666666666666,6.27,0,128.03999,0,15.625,0.20833333333333334,146,228,5,628.40002,0,49.43,0,0,0,3.0303030303030303
